Idade,Gênero,IMC,Filhos,Fumante,Região,Encargos
28.0,feminino,37.664386292196698,2.0,não,nordeste,24432.19
33.0,masculino,27.106173400169661,4.0,sim,centro-oeste,30153.09
36.0,feminino,34.279241029016125,4.0,não,nordeste,24339.62
40.0,masculino,38.051849319821960,0.0,sim,sul,37025.92
76.0,feminino,33.136845884325962,1.0,sim,centro-oeste,41768.42
20.0,feminino,38.170241108134548,2.0,não,centro-oeste,23085.12
49.0,feminino,38.583262231024380,4.0,não,sul,29091.63
66.0,feminino,29.547229012477365,0.0,não,,27973.61
61.0,feminino,22.519759548957547,1.0,não,nordeste,23459.88
91.0,feminino,30.725300046115075,2.0,sim,,43562.65
18.0,masculino,26.070248773614478,1.0,não,norte,16635.12
57.0,masculino,26.761678646027132,2.0,sim,sul,34780.84
69.0,masculino,29.381677001848003,0.0,não,nordeste,28490.84
58.0,feminino,40.739748185999146,4.0,não,sudeste,31969.87
77.0,masculino,28.669539238146940,2.0,não,sudeste,29734.77
59.0,feminino,38.773665717557410,3.0,não,norte,31186.83
34.0,masculino,35.711496974529550,4.0,sim,norte,34655.75
63.0,feminino,31.975211829225633,0.0,sim,sul,38587.61
42.0,feminino,25.186952339888607,4.0,sim,nordeste,30993.48
83.0,feminino,23.977246654315522,2.0,sim,sudeste,38588.62
57.0,masculino,21.891237776712649,1.0,sim,nordeste,32345.62
58.0,masculino,33.498345408186827,0.0,sim,nordeste,38349.17
74.0,feminino,33.298446114340328,5.0,não,sul,31449.22
31.0,masculino,20.188172122542319,2.0,não,norte,16294.09
54.0,masculino,29.303132292092447,5.0,sim,sudeste,35451.57
48.0,feminino,24.290318950959106,3.0,sim,sul,31745.16
64.0,masculino,34.582401055873665,5.0,não,nordeste,30091.20
52.0,feminino,32.773758677624998,4.0,sim,sul,36786.88
63.0,feminino,39.527123613618573,5.0,não,sul,32363.56
55.0,masculino,38.419219406890903,1.0,sim,sul,40209.61
72.0,masculino,25.270413701916413,4.0,não,norte,27035.21
29.0,masculino,36.463644992294794,0.0,sim,sudeste,34031.82
26.0,masculino,30.645951437678286,,não,sudeste,20522.98
65.0,masculino,38.997458903082694,1.0,não,nordeste,32498.73
24.0,feminino,28.969936261561686,1.0,sim,centro-oeste,29284.97
19.0,masculino,30.638340404544930,5.0,sim,sudeste,29119.17
79.0,feminino,27.311576514090810,0.0,sim,nordeste,
45.0,masculino,39.064570578573367,2.0,sim,sudeste,
60.0,feminino,26.928418232145546,2.0,sim,sul,35464.21
93.0,masculino,24.013051283918251,2.0,sim,norte,40606.53
53.0,feminino,33.847878305801121,4.0,não,centro-oeste,27523.94
57.0,masculino,36.356046204210383,5.0,sim,norte,39578.02
55.0,feminino,30.953230648349850,5.0,não,sul,26476.62
23.0,masculino,35.938635497382240,4.0,não,norte,22569.32
64.0,feminino,38.793117515587230,0.0,sim,nordeste,42196.56
83.0,feminino,26.583330719530883,3.0,não,norte,29891.67
58.0,feminino,34.865743577236646,4.0,não,norte,29032.87
31.0,masculino,25.413506196435327,4.0,não,norte,18906.75
41.0,masculino,39.306391618123613,1.0,sim,sudeste,37853.20
70.0,feminino,21.207305262404331,3.0,não,sul,24603.65
42.0,masculino,21.108832898216201,2.0,não,centro-oeste,18954.42
58.0,masculino,29.529890906757018,5.0,não,centro-oeste,26364.95
45.0,feminino,31.647038670239856,3.0,não,sudeste,24823.52
26.0,feminino,21.444520232854817,0.0,sim,sul,25922.26
57.0,feminino,24.818468248293278,1.0,sim,sul,33809.23
52.0,feminino,37.012282071825540,1.0,sim,norte,38906.14
54.0,masculino,36.288767147675976,5.0,sim,sudeste,38944.38
63.0,masculino,21.709108973962010,3.0,sim,norte,33454.55
18.0,feminino,33.664062508365394,1.0,não,nordeste,20432.03
26.0,feminino,31.440086452450944,5.0,sim,centro-oeste,30920.04
48.0,feminino,33.466517182811011,5.0,sim,centro-oeste,36333.26
30.0,masculino,24.013660838234963,4.0,sim,centro-oeste,28006.83
61.0,masculino,26.669754484137698,3.0,não,sudeste,25534.88
28.0,masculino,35.238996483940926,3.0,não,centro-oeste,23219.50
62.0,feminino,39.802963205360911,0.0,não,sul,32301.48
37.0,masculino,34.761793224698609,1.0,sim,nordeste,34780.90
70.0,,35.715550279441209,5.0,sim,sudeste,41857.78
88.0,feminino,26.720286751935949,0.0,não,norte,30960.14
59.0,feminino,31.615659802220552,2.0,não,nordeste,27607.83
57.0,feminino,20.959579791473441,1.0,não,sudeste,21879.79
41.0,masculino,25.839042617041195,5.0,não,nordeste,21119.52
43.0,feminino,27.520319074108168,4.0,sim,norte,32360.16
57.0,masculino,29.322492881540353,3.0,não,sul,26061.25
38.0,masculino,30.457009154942660,2.0,sim,norte,
27.0,feminino,28.322697252872057,2.0,sim,sudeste,29561.35
53.0,masculino,31.373885435925152,3.0,sim,nordeste,36286.94
57.0,masculino,30.398972644712640,5.0,sim,nordeste,36599.49
41.0,masculino,34.612694826648683,4.0,sim,sudeste,35506.35
91.0,feminino,36.865602201817730,1.0,não,centro-oeste,36632.80
50.0,masculino,22.971482814345863,4.0,sim,norte,31485.74
39.0,feminino,27.059600974412407,0.0,não,nordeste,21329.80
,masculino,30.858416662297636,3.0,não,norte,22429.21
67.0,masculino,37.095880538469129,1.0,sim,nordeste,41947.94
97.0,feminino,32.994792354881304,5.0,sim,nordeste,45897.40
91.0,feminino,28.705202681106587,2.0,sim,sul,42552.60
61.0,masculino,25.023765988979425,1.0,não,nordeste,24711.88
26.0,masculino,32.952548323468383,5.0,não,sul,21676.27
31.0,feminino,37.946454427682482,0.0,sim,sudeste,35173.23
57.0,feminino,27.696442301977800,0.0,sim,centro-oeste,35248.22
41.0,masculino,37.094103645092976,4.0,sim,sul,36747.05
20.0,feminino,39.410342754648192,3.0,não,sul,23705.17
32.0,masculino,36.906762230821779,5.0,não,centro-oeste,24853.38
62.0,masculino,20.209296024418893,1.0,sim,norte,32504.65
37.0,feminino,30.799642681748315,4.0,não,norte,
59.0,masculino,37.221074379126514,5.0,não,nordeste,30410.54
22.0,masculino,32.756851531859742,3.0,sim,sudeste,30778.43
29.0,feminino,34.444356445005205,0.0,sim,norte,33022.18
77.0,masculino,27.004403375667455,1.0,não,sudeste,28902.20
52.0,masculino,25.083778211449885,0.0,sim,norte,32941.89
87.0,feminino,22.508700146202404,2.0,sim,sudeste,38654.35
60.0,masculino,23.180509088599198,2.0,não,sudeste,23590.25
50.0,masculino,32.406635583227348,0.0,sim,sudeste,36203.32
39.0,feminino,26.954164323072619,4.0,não,nordeste,21277.08
62.0,feminino,40.131039664292371,2.0,não,centro-oeste,32465.52
29.0,feminino,38.187771132217014,4.0,não,centro-oeste,24893.89
25.0,masculino,37.066821107879595,3.0,não,sul,23533.41
77.0,feminino,37.913515051756345,4.0,sim,norte,44356.76
54.0,masculino,22.658202317773113,5.0,não,sudeste,22129.10
52.0,masculino,26.484836801373255,0.0,sim,sudeste,33642.42
18.0,feminino,38.193183661311437,0.0,sim,norte,32696.59
58.0,feminino,24.493539619022062,2.0,sim,sudeste,33846.77
74.0,feminino,21.283759710667350,4.0,não,norte,25441.88
23.0,masculino,37.652620217895540,1.0,não,sul,23426.31
62.0,feminino,28.346182851768308,3.0,não,nordeste,26573.09
85.0,feminino,24.102450568233068,5.0,sim,nordeste,39051.23
56.0,masculino,21.721244784033382,2.0,não,norte,22060.62
39.0,feminino,21.657449920342162,4.0,sim,nordeste,28628.72
65.0,feminino,31.424212164022963,2.0,sim,centro-oeste,38712.11
33.0,masculino,32.905358223219047,1.0,sim,centro-oeste,
24.0,feminino,26.417696526544170,4.0,sim,centro-oeste,28008.85
,masculino,32.541220849690170,3.0,sim,norte,36870.61
26.0,feminino,20.828018113064132,2.0,não,,15614.01
96.0,feminino,21.634821065258573,5.0,não,sudeste,30017.41
20.0,masculino,30.361795808459942,1.0,não,sul,19180.90
74.0,masculino,35.801526137210643,5.0,sim,nordeste,42700.76
23.0,feminino,36.792437303380672,2.0,não,norte,22996.22
59.0,feminino,29.378291884954204,0.0,não,nordeste,26489.15
89.0,masculino,24.382243315539844,2.0,sim,centro-oeste,39991.12
63.0,feminino,40.544255498873451,3.0,sim,sudeste,42872.13
26.0,masculino,34.574619010381888,3.0,sim,nordeste,32487.31
54.0,feminino,32.617615304234257,4.0,,nordeste,27108.81
88.0,masculino,37.030869673167136,1.0,sim,sudeste,46115.43
23.0,feminino,34.243645994089768,2.0,não,centro-oeste,21721.82
95.0,masculino,40.033411513999176,2.0,sim,norte,49016.71
58.0,feminino,27.753915455775720,1.0,não,sudeste,25476.96
43.0,feminino,39.905049042310787,4.0,não,norte,28552.52
49.0,masculino,32.544628147269908,4.0,sim,nordeste,36072.31
61.0,masculino,22.589445704399160,5.0,sim,centro-oeste,33494.72
61.0,feminino,33.348330829644947,0.0,sim,sudeste,38874.17
94.0,feminino,37.321968830269063,1.0,sim,sul,47460.98
20.0,feminino,24.297911280071611,4.0,sim,centro-oeste,26148.96
23.0,feminino,25.222156713919683,5.0,não,sul,17211.08
39.0,feminino,23.109565938882439,3.0,não,centro-oeste,19354.78
29.0,feminino,21.354151825035547,1.0,não,norte,16477.08
22.0,feminino,20.811435080936806,4.0,sim,centro-oeste,24805.72
53.0,masculino,32.520418649460220,0.0,não,nordeste,26860.21
85.0,feminino,31.315533242169303,4.0,não,sul,32657.77
48.0,masculino,35.268759479460307,4.0,sim,nordeste,37234.38
47.0,masculino,32.598000131628886,3.0,sim,nordeste,35699.00
21.0,masculino,25.709650344423001,4.0,sim,sudeste,27054.83
55.0,masculino,40.784177857250534,5.0,não,norte,31392.09
31.0,masculino,38.504293519408535,1.0,não,sudeste,25452.15
25.0,masculino,34.043510510680719,4.0,sim,,32021.76
58.0,feminino,34.076243625022458,2.0,não,centro-oeste,28638.12
70.0,feminino,23.557456383333123,1.0,não,centro-oeste,25778.73
63.0,feminino,33.047842425732780,,sim,nordeste,39123.92
40.0,masculino,27.841295393054460,0.0,sim,norte,31920.65
63.0,masculino,21.874564815122462,1.0,não,sul,23537.28
55.0,feminino,40.706734610826645,4.0,não,norte,31353.37
52.0,masculino,29.237947063074599,2.0,sim,norte,35018.97
44.0,masculino,24.410598781010829,3.0,não,nordeste,21005.30
23.0,feminino,28.061509892315624,4.0,sim,centro-oeste,28630.75
20.0,feminino,37.246012856958182,5.0,sim,nordeste,32623.01
26.0,feminino,40.625679338955304,0.0,não,norte,25512.84
55.0,masculino,20.476765457164521,4.0,sim,norte,31238.38
66.0,feminino,31.897114608971782,0.0,sim,sudeste,39148.56
38.0,feminino,40.698701850174843,3.0,sim,nordeste,37949.35
41.0,,40.426344009337297,5.0,não,sudeste,28413.17
47.0,masculino,26.870460642772397,1.0,não,sul,22835.23
53.0,feminino,26.523596565594187,5.0,não,centro-oeste,23861.80
66.0,masculino,32.301534527151404,5.0,não,norte,29350.77
23.0,masculino,37.841900599450590,3.0,sim,sul,33520.95
45.0,feminino,23.195680667343917,3.0,sim,sudeste,30597.84
24.0,feminino,40.757756139130911,4.0,sim,sul,35178.88
27.0,masculino,21.814920205245234,1.0,sim,centro-oeste,26307.46
49.0,feminino,20.327101380534587,5.0,sim,norte,29963.55
21.0,feminino,38.221037837580867,3.0,sim,centro-oeste,33310.52
32.0,,26.385021660346895,4.0,sim,sul,29592.51
59.0,masculino,,1.0,não,sudeste,25468.61
69.0,masculino,39.271114932448025,2.0,sim,norte,43435.56
63.0,feminino,29.834793519109656,1.0,não,sudeste,27517.40
52.0,feminino,32.439664212444399,0.0,sim,sudeste,36619.83
19.0,masculino,35.460328953004286,3.0,sim,centro-oeste,31530.16
46.0,masculino,39.300709872743940,4.0,não,sudeste,28850.35
38.0,masculino,24.212368083652490,4.0,não,sudeste,19706.18
38.0,feminino,25.983108221227842,4.0,sim,sul,30591.55
28.0,feminino,33.203210624230737,1.0,sim,sul,32201.61
87.0,masculino,21.424100937848357,5.0,não,centro-oeste,28112.05
58.0,masculino,23.937702020561671,4.0,não,sudeste,23568.85
58.0,masculino,24.521163036482266,1.0,não,sudeste,23860.58
33.0,feminino,37.589619177581644,2.0,não,,25394.81
49.0,feminino,26.097200388413528,3.0,sim,sudeste,32848.60
40.0,feminino,20.717536722047331,3.0,sim,centro-oeste,28358.77
23.0,feminino,26.169320507547936,1.0,não,nordeste,17684.66
49.0,feminino,26.311013878855161,1.0,não,sul,22955.51
49.0,masculino,26.405718975192433,5.0,não,norte,23002.86
84.0,feminino,33.444701922925121,3.0,sim,nordeste,43522.35
24.0,feminino,30.916890375191750,4.0,sim,norte,30258.45
46.0,masculino,23.594249127446807,2.0,sim,norte,30997.12
56.0,feminino,36.260458034590956,1.0,sim,norte,39330.23
72.0,feminino,34.046639353530378,0.0,sim,sudeste,41423.32
46.0,masculino,39.086004648173723,0.0,não,norte,28743.00
89.0,masculino,31.918493076934063,0.0,não,norte,33759.25
35.0,feminino,39.072798353806639,0.0,sim,sul,36536.40
25.0,masculino,37.332609297956544,2.0,sim,,33666.30
53.0,masculino,28.374536950644161,1.0,não,sudeste,24787.27
54.0,masculino,34.702327585413493,0.0,sim,nordeste,38151.16
48.0,masculino,29.148578951843576,5.0,não,sul,24174.29
35.0,feminino,26.493640811475618,5.0,não,centro-oeste,20246.82
58.0,feminino,25.694272514562598,4.0,sim,sul,34447.14
39.0,feminino,27.168980207154885,3.0,sim,sudeste,31384.49
56.0,masculino,36.070304616770131,2.0,sim,sul,39235.15
39.0,feminino,26.688513332617257,2.0,não,nordeste,21144.26
,feminino,35.974558287798962,3.0,sim,sudeste,37587.28
33.0,masculino,38.617377189494713,2.0,não,sul,25908.69
34.0,masculino,38.245664539159434,4.0,sim,nordeste,35922.83
31.0,feminino,36.698066637549608,5.0,não,sudeste,24549.03
33.0,masculino,21.066484452961546,3.0,não,centro-oeste,17133.24
49.0,feminino,32.017004871845948,0.0,sim,norte,35808.50
32.0,masculino,37.247483958162982,0.0,sim,sul,35023.74
76.0,masculino,22.865424469122958,4.0,sim,sudeste,36632.71
34.0,feminino,33.530416369255894,1.0,sim,sul,33565.21
61.0,feminino,40.013335423277287,1.0,sim,sul,42206.67
69.0,masculino,27.238355077666405,3.0,não,sudeste,27419.18
74.0,feminino,33.434579025569857,1.0,sim,sudeste,41517.29
20.0,feminino,23.795449633788333,3.0,sim,centro-oeste,25897.72
25.0,feminino,25.201928191765898,2.0,sim,nordeste,27600.96
41.0,feminino,38.160694128717685,4.0,não,nordeste,27280.35
33.0,feminino,25.955637286179255,4.0,não,sul,19577.82
21.0,masculino,39.448509009921782,2.0,não,sudeste,23924.25
,masculino,36.165980429202422,3.0,não,nordeste,33282.99
,feminino,40.106869764852233,2.0,sim,norte,41253.43
54.0,feminino,31.479924770205797,2.0,não,sul,26539.96
40.0,feminino,33.501825235944262,3.0,não,sul,24750.91
64.0,feminino,39.717712179420048,4.0,não,centro-oeste,32658.86
28.0,masculino,32.281219193022696,,não,sul,21740.61
33.0,masculino,40.853186801865304,0.0,não,nordeste,27026.59
50.0,feminino,33.738109939924990,2.0,sim,sudeste,36869.05
27.0,feminino,40.734624804762680,3.0,não,norte,25767.31
43.0,feminino,28.402923046042197,4.0,não,,22801.46
58.0,masculino,26.555130436765403,4.0,sim,sul,34877.57
59.0,feminino,22.559381329449953,3.0,sim,nordeste,33079.69
56.0,feminino,27.049198589372962,5.0,sim,sudeste,34724.60
38.0,feminino,28.447957809338981,4.0,não,norte,
28.0,masculino,31.061371505582447,2.0,não,sul,21130.69
43.0,feminino,37.938312571654304,5.0,sim,norte,37569.16
86.0,masculino,32.498384215835623,,sim,centro-oeste,43449.19
55.0,masculino,37.189979283346737,0.0,não,nordeste,29594.99
34.0,feminino,34.089766841287376,3.0,não,nordeste,23844.88
78.0,masculino,36.274901874423111,2.0,sim,sul,43737.45
42.0,feminino,32.910179276312330,3.0,sim,nordeste,34855.09
51.0,feminino,35.106275017815686,0.0,sim,sul,37753.14
49.0,feminino,23.839988189468259,4.0,não,nordeste,21719.99
36.0,feminino,32.717467757234965,1.0,não,centro-oeste,23558.73
35.0,masculino,33.334314671933371,5.0,sim,sul,33667.16
23.0,feminino,31.749770168824175,4.0,não,sul,20474.89
20.0,feminino,22.167844313660323,5.0,não,centro-oeste,15083.92
48.0,masculino,23.073017344692704,2.0,não,norte,21136.51
56.0,feminino,23.075229291740651,0.0,sim,centro-oeste,32737.61
40.0,feminino,21.884824267816835,2.0,não,nordeste,18942.41
40.0,feminino,33.677155118583401,1.0,não,norte,24838.58
56.0,masculino,36.089127241889592,1.0,sim,nordeste,39244.56
19.0,masculino,26.599867251399316,5.0,sim,sul,27099.93
39.0,masculino,28.864279529952715,4.0,não,norte,22232.14
58.0,masculino,40.215312676385972,2.0,sim,centro-oeste,41707.66
97.0,masculino,30.689280191006767,2.0,sim,centro-oeste,44744.64
32.0,feminino,23.983809945455862,4.0,não,sudeste,18391.90
86.0,masculino,23.766798631741420,3.0,sim,sul,39083.40
23.0,masculino,28.154993868179045,1.0,sim,sul,28677.50
59.0,masculino,37.758458211228164,2.0,sim,sudeste,40679.23
22.0,masculino,23.175942200138087,5.0,não,centro-oeste,15987.97
55.0,feminino,34.334844144907412,4.0,sim,centro-oeste,38167.42
50.0,feminino,20.010067074719599,0.0,não,nordeste,20005.03
22.0,feminino,37.444877331695635,3.0,sim,sudeste,33122.44
34.0,masculino,30.054557520464257,4.0,não,,21827.28
63.0,masculino,35.055742421440063,1.0,sim,nordeste,40127.87
43.0,masculino,25.777267117616730,4.0,não,centro-oeste,21488.63
62.0,feminino,20.227376275382775,5.0,não,,
43.0,feminino,33.013699219952432,5.0,sim,nordeste,35106.85
44.0,masculino,38.135025359448170,1.0,sim,sul,37867.51
34.0,feminino,37.612691388688239,5.0,não,nordeste,25606.35
45.0,feminino,37.456708796616151,2.0,não,sul,27728.35
33.0,masculino,28.680427455354179,5.0,sim,sudeste,30940.21
21.0,feminino,24.677498613887238,5.0,sim,norte,26538.75
42.0,feminino,34.295879698111177,0.0,sim,sudeste,35547.94
74.0,masculino,37.027735114065122,4.0,não,centro-oeste,33313.87
98.0,masculino,37.226958188831769,2.0,sim,sudeste,48213.48
30.0,feminino,,3.0,sim,centro-oeste,33747.58
82.0,feminino,36.095502402014338,1.0,não,nordeste,34447.75
43.0,masculino,22.134239830848546,4.0,sim,nordeste,29667.12
93.0,masculino,32.683454729345998,2.0,sim,sul,44941.73
79.0,masculino,23.623374888014542,1.0,não,centro-oeste,27611.69
19.0,feminino,36.546500448853806,2.0,não,sul,22073.25
80.0,masculino,22.398306511555586,3.0,sim,,37199.15
23.0,feminino,33.306468510240752,5.0,não,nordeste,21253.23
40.0,masculino,33.873229668993106,4.0,sim,centro-oeste,34936.61
25.0,masculino,27.584325152784849,1.0,não,sul,18792.16
88.0,feminino,32.572405265254271,1.0,sim,centro-oeste,43886.20
30.0,,31.804800074967423,2.0,sim,nordeste,31902.40
58.0,masculino,29.898814415155368,0.0,sim,nordeste,36549.41
18.0,feminino,29.642344557482531,5.0,não,centro-oeste,18421.17
71.0,feminino,36.067259486850270,0.0,não,sudeste,32233.63
91.0,feminino,30.359404371252724,5.0,não,centro-oeste,33379.70
32.0,masculino,28.086148273437450,1.0,sim,sudeste,30443.07
47.0,masculino,35.834327821014793,5.0,sim,sul,37317.16
46.0,masculino,33.154029564756793,5.0,sim,sul,35777.01
,masculino,38.113360177552568,2.0,sim,sul,34856.68
96.0,,32.671109061357835,3.0,sim,norte,45535.55
42.0,masculino,27.711663211536234,2.0,sim,nordeste,32255.83
43.0,masculino,,5.0,sim,sudeste,30276.76
32.0,masculino,36.018893578850119,5.0,não,centro-oeste,24409.45
41.0,masculino,38.045991385670673,5.0,não,norte,27223.00
49.0,masculino,21.969210570857387,1.0,não,sudeste,20784.61
36.0,,23.925052216387414,1.0,não,sul,19162.53
74.0,masculino,27.632996728439987,1.0,sim,norte,38616.50
18.0,feminino,34.725384837015010,4.0,sim,centro-oeste,30962.69
21.0,feminino,25.647338805696843,0.0,não,norte,17023.67
42.0,feminino,35.991392953418362,2.0,não,nordeste,26395.70
70.0,masculino,29.581041294314002,2.0,não,nordeste,28790.52
24.0,feminino,28.141144572821262,4.0,não,nordeste,18870.57
55.0,masculino,35.677589339408040,4.0,não,nordeste,28838.79
38.0,masculino,38.341162205862043,4.0,sim,norte,36770.58
26.0,feminino,39.348809446373828,2.0,não,sul,24874.40
43.0,feminino,25.798338517836645,3.0,não,sudeste,21499.17
33.0,feminino,36.496119878057859,3.0,sim,sudeste,
60.0,masculino,31.142782053425430,1.0,sim,sul,37571.39
38.0,feminino,23.399118533650109,0.0,sim,sul,29299.56
81.0,masculino,25.032426796699025,5.0,não,norte,28716.21
36.0,masculino,29.722218951302608,4.0,não,sul,22061.11
18.0,feminino,24.212144782875720,1.0,não,nordeste,15706.07
74.0,feminino,34.535267522609056,0.0,não,centro-oeste,32067.63
38.0,feminino,40.645174024946996,1.0,sim,sudeste,37922.59
95.0,feminino,25.852458175361022,4.0,sim,sudeste,41926.23
27.0,feminino,28.312498722139276,1.0,não,norte,19556.25
27.0,feminino,39.564856798938822,4.0,sim,centro-oeste,35182.43
46.0,feminino,31.574913706544107,0.0,sim,nordeste,34987.46
69.0,feminino,40.808720767569480,,não,nordeste,34204.36
46.0,masculino,36.711275880651919,4.0,não,sul,27555.64
31.0,feminino,26.470724870108808,1.0,sim,centro-oeste,29435.36
61.0,masculino,24.343124742733244,1.0,sim,sudeste,34371.56
74.0,feminino,35.533316139466821,1.0,sim,sudeste,42566.66
66.0,feminino,25.745208138241963,4.0,sim,nordeste,36072.60
44.0,feminino,38.683574223515583,5.0,sim,norte,38141.79
94.0,masculino,39.629534590011992,2.0,sim,centro-oeste,48614.77
64.0,feminino,34.831959563580767,,não,nordeste,30215.98
18.0,masculino,27.562232403695856,4.0,sim,centro-oeste,27381.12
63.0,feminino,31.172179381279079,3.0,sim,nordeste,38186.09
91.0,masculino,28.037568691474923,2.0,sim,nordeste,42218.78
46.0,masculino,,0.0,não,sul,28999.46
57.0,masculino,33.743012298686715,5.0,sim,nordeste,38271.51
57.0,feminino,28.152588664482611,4.0,sim,centro-oeste,35476.29
52.0,,36.308826185494396,1.0,sim,centro-oeste,38554.41
35.0,masculino,27.041001508746463,3.0,não,centro-oeste,20520.50
98.0,feminino,30.580085278753291,1.0,sim,nordeste,44890.04
63.0,masculino,37.295655615592712,5.0,sim,sudeste,41247.83
44.0,feminino,27.557109406339855,5.0,não,centro-oeste,22578.55
29.0,masculino,28.351372977132676,4.0,sim,sul,29975.69
43.0,masculino,40.039705546155967,3.0,não,sul,28619.85
75.0,masculino,23.554140849677560,5.0,não,sudeste,26777.07
20.0,masculino,36.360157912633604,3.0,sim,nordeste,32180.08
30.0,masculino,39.699694922629488,0.0,não,sul,25849.85
74.0,feminino,33.861871559942864,5.0,sim,sul,41730.94
29.0,feminino,24.810576392091772,4.0,sim,norte,28205.29
48.0,masculino,34.878022204503972,4.0,não,norte,27039.01
58.0,masculino,24.658469085105758,,sim,norte,33929.23
22.0,feminino,24.635197417160874,5.0,sim,sul,26717.60
24.0,feminino,32.856365131498189,4.0,não,nordeste,21228.18
54.0,feminino,35.335196294819228,2.0,sim,centro-oeste,38467.60
48.0,masculino,32.307703787638690,2.0,não,sudeste,25753.85
52.0,feminino,30.088276127561947,3.0,sim,sul,35444.14
